,Date,Close
4414,2017-05-18,152.54
4413,2017-05-17,150.25
4412,2017-05-16,155.47
4411,2017-05-15,155.7
4410,2017-05-12,156.1
4409,2017-05-11,153.95
4408,2017-05-10,153.26
4407,2017-05-09,153.99
4406,2017-05-08,153.01
4405,2017-05-05,148.96
4404,2017-05-04,146.53
4403,2017-05-03,147.06
4402,2017-05-02,147.51
4401,2017-05-01,146.58
4400,2017-04-28,143.65
4399,2017-04-27,143.79
4398,2017-04-26,143.68
4397,2017-04-25,144.53
4396,2017-04-24,143.64
4395,2017-04-21,142.27
4394,2017-04-20,142.44
4393,2017-04-19,140.68
4392,2017-04-18,141.2
4391,2017-04-17,141.83
4390,2017-04-13,141.05
4389,2017-04-12,141.8
4388,2017-04-11,141.63
4387,2017-04-10,143.17
4386,2017-04-07,143.34
4385,2017-04-06,143.66
4384,2017-04-05,144.02
4383,2017-04-04,144.77
4382,2017-04-03,143.7
4381,2017-03-31,143.66
4380,2017-03-30,143.93
4379,2017-03-29,144.12
4378,2017-03-28,143.8
4377,2017-03-27,140.88
4376,2017-03-24,140.64
4375,2017-03-23,140.92
4374,2017-03-22,141.42
4373,2017-03-21,139.84
4372,2017-03-20,141.46
4371,2017-03-17,139.99
4370,2017-03-16,140.69
4369,2017-03-15,140.46
4368,2017-03-14,138.99
4367,2017-03-13,139.2
4366,2017-03-10,139.14
4365,2017-03-09,138.68
4364,2017-03-08,139.0
4363,2017-03-07,139.52
4362,2017-03-06,139.34
4361,2017-03-03,139.78
4360,2017-03-02,138.96
4359,2017-03-01,139.79
4358,2017-02-28,136.99
4357,2017-02-27,136.93
4356,2017-02-24,136.66
4355,2017-02-23,136.53
4354,2017-02-22,137.11
4353,2017-02-21,136.7
4352,2017-02-17,135.72
4351,2017-02-16,135.345
4350,2017-02-15,135.51
4349,2017-02-14,135.02
4348,2017-02-13,133.29
4347,2017-02-10,132.12
4346,2017-02-09,132.42
4345,2017-02-08,132.04
4344,2017-02-07,131.53
4343,2017-02-06,130.29
4342,2017-02-03,129.08
4341,2017-02-02,128.53
4340,2017-02-01,128.75
4339,2017-01-31,121.35
4338,2017-01-30,121.63
4337,2017-01-27,121.95
4336,2017-01-26,121.94
4335,2017-01-25,121.88
4334,2017-01-24,119.97
4333,2017-01-23,120.08
4332,2017-01-20,120.0
4331,2017-01-19,119.78
4330,2017-01-18,119.99
4329,2017-01-17,120.0
4328,2017-01-13,119.04
4327,2017-01-12,119.25
4326,2017-01-11,119.75
4325,2017-01-10,119.11
4324,2017-01-09,118.99
4323,2017-01-06,117.91
4322,2017-01-05,116.61
4321,2017-01-04,116.02
4320,2017-01-03,116.15
4319,2016-12-30,115.82
4318,2016-12-29,116.73
4317,2016-12-28,116.76
4316,2016-12-27,117.26
4315,2016-12-23,116.52
4314,2016-12-22,116.29
4313,2016-12-21,117.06
4312,2016-12-20,116.95
4311,2016-12-19,116.64
4310,2016-12-16,115.97
4309,2016-12-15,115.82
4308,2016-12-14,115.19
4307,2016-12-13,115.19
4306,2016-12-12,113.3
4305,2016-12-09,113.95
4304,2016-12-08,112.12
4303,2016-12-07,111.03
4302,2016-12-06,109.95
4301,2016-12-05,109.11
4300,2016-12-02,109.9
4299,2016-12-01,109.49
4298,2016-11-30,110.52
4297,2016-11-29,111.46
4296,2016-11-28,111.57
4295,2016-11-25,111.79
4294,2016-11-23,111.23
4293,2016-11-22,111.8
4292,2016-11-21,111.73
4291,2016-11-18,110.06
4290,2016-11-17,109.95
4289,2016-11-16,109.99
4288,2016-11-15,107.11
4287,2016-11-14,105.71
4286,2016-11-11,108.43
4285,2016-11-10,107.79
4284,2016-11-09,110.88
4283,2016-11-08,111.06
4282,2016-11-07,110.41
4281,2016-11-04,108.84
4280,2016-11-03,109.83
4279,2016-11-02,111.59
4278,2016-11-01,111.49
4277,2016-10-31,113.54
4276,2016-10-28,113.72
4275,2016-10-27,114.48
4274,2016-10-26,115.59
4273,2016-10-25,118.25
4272,2016-10-24,117.65
4271,2016-10-21,116.6
4270,2016-10-20,117.06
4269,2016-10-19,117.12
4268,2016-10-18,117.47
4267,2016-10-17,117.55
4266,2016-10-14,117.63
4265,2016-10-13,116.98
4264,2016-10-12,117.34
4263,2016-10-11,116.3
4262,2016-10-10,116.05
4261,2016-10-07,114.06
4260,2016-10-06,113.89
4259,2016-10-05,113.05
4258,2016-10-04,113.0
4257,2016-10-03,112.52
4256,2016-09-30,113.05
4255,2016-09-29,112.18
4254,2016-09-28,113.95
4253,2016-09-27,113.09
4252,2016-09-26,112.88
4251,2016-09-23,112.71
4250,2016-09-22,114.62
4249,2016-09-21,113.55
4248,2016-09-20,113.57
4247,2016-09-19,113.58
4246,2016-09-16,114.92
4245,2016-09-15,115.57
4244,2016-09-14,111.77
4243,2016-09-13,107.95
4242,2016-09-12,105.44
4241,2016-09-09,103.13
4240,2016-09-08,105.52
4239,2016-09-07,108.36
4238,2016-09-06,107.7
4237,2016-09-02,107.73
4236,2016-09-01,106.73
4235,2016-08-31,106.1
4234,2016-08-30,106.0
4233,2016-08-29,106.82
4232,2016-08-26,106.94
4231,2016-08-25,107.57
4230,2016-08-24,108.03
4229,2016-08-23,108.85
4228,2016-08-22,108.51
4227,2016-08-19,109.36
4226,2016-08-18,109.08
4225,2016-08-17,109.22
4224,2016-08-16,109.38
4223,2016-08-15,109.48
4222,2016-08-12,108.18
4221,2016-08-11,107.93
4220,2016-08-10,108.0
4219,2016-08-09,108.81
4218,2016-08-08,108.37
4217,2016-08-05,107.48
4216,2016-08-04,105.87
4215,2016-08-03,105.79
4214,2016-08-02,104.48
4213,2016-08-01,106.05
4212,2016-07-29,104.21
4211,2016-07-28,104.34
4210,2016-07-27,102.95
4209,2016-07-26,96.67
4208,2016-07-25,97.34
4207,2016-07-22,98.66
4206,2016-07-21,99.43
4205,2016-07-20,99.96
4204,2016-07-19,99.87
4203,2016-07-18,99.83
4202,2016-07-15,98.78
4201,2016-07-14,98.79
4200,2016-07-13,96.87
4199,2016-07-12,97.42
4198,2016-07-11,96.98
4197,2016-07-08,96.68
4196,2016-07-07,95.94
4195,2016-07-06,95.53
4194,2016-07-05,94.99
4193,2016-07-01,95.89
4192,2016-06-30,95.6
4191,2016-06-29,94.4
4190,2016-06-28,93.59
4189,2016-06-27,92.04
4188,2016-06-24,93.4
4187,2016-06-23,96.1
4186,2016-06-22,95.55
4185,2016-06-21,95.91
4184,2016-06-20,95.1
4183,2016-06-17,95.33
4182,2016-06-16,97.55
4181,2016-06-15,97.14
4180,2016-06-14,97.46
4179,2016-06-13,97.34
4178,2016-06-10,98.83
4177,2016-06-09,99.65
4176,2016-06-08,98.94
4175,2016-06-07,99.03
4174,2016-06-06,98.63
4173,2016-06-03,97.92
4172,2016-06-02,97.72
4171,2016-06-01,98.46
4170,2016-05-31,99.86
4169,2016-05-27,100.35
4168,2016-05-26,100.41
4167,2016-05-25,99.62
4166,2016-05-24,97.9
4165,2016-05-23,96.43
4164,2016-05-20,95.22
4163,2016-05-19,94.2
4162,2016-05-18,94.56
4161,2016-05-17,93.49
4160,2016-05-16,93.88
4159,2016-05-13,90.52
4158,2016-05-12,90.34
4157,2016-05-11,92.51
4156,2016-05-10,93.42
4155,2016-05-09,92.79
4154,2016-05-06,92.72
4153,2016-05-05,93.24
4152,2016-05-04,94.19
4151,2016-05-03,95.18
4150,2016-05-02,93.64
4149,2016-04-29,93.74
4148,2016-04-28,94.83
4147,2016-04-27,97.82
4146,2016-04-26,104.35
4145,2016-04-25,105.08
4144,2016-04-22,105.68
4143,2016-04-21,105.97
4142,2016-04-20,107.13
4141,2016-04-19,106.91
4140,2016-04-18,107.48
4139,2016-04-15,109.85
4138,2016-04-14,112.1
4137,2016-04-13,112.04
4136,2016-04-12,110.44
4135,2016-04-11,109.02
4134,2016-04-08,108.66
4133,2016-04-07,108.54
4132,2016-04-06,110.96
4131,2016-04-05,109.81
4130,2016-04-04,111.12
4129,2016-04-01,109.99
4128,2016-03-31,108.99
4127,2016-03-30,109.56
4126,2016-03-29,107.68
4125,2016-03-28,105.19
4124,2016-03-24,105.67
4123,2016-03-23,106.13
4122,2016-03-22,106.72
4121,2016-03-21,105.91
4120,2016-03-18,105.92
4119,2016-03-17,105.8
4118,2016-03-16,105.97
4117,2016-03-15,104.58
4116,2016-03-14,102.52
4115,2016-03-11,102.26
4114,2016-03-10,101.17
4113,2016-03-09,101.12
4112,2016-03-08,101.03
4111,2016-03-07,101.87
4110,2016-03-04,103.01
4109,2016-03-03,101.5
4108,2016-03-02,100.75
4107,2016-03-01,100.53
4106,2016-02-29,96.69
4105,2016-02-26,96.91
4104,2016-02-25,96.76
4103,2016-02-24,96.1
4102,2016-02-23,94.69
4101,2016-02-22,96.88
4100,2016-02-19,96.04
4099,2016-02-18,96.26
4098,2016-02-17,98.12
4097,2016-02-16,96.64
4096,2016-02-12,93.99
4095,2016-02-11,93.7
4094,2016-02-10,94.27
4093,2016-02-09,94.99
4092,2016-02-08,95.01
4091,2016-02-05,94.02
4090,2016-02-04,96.6
4089,2016-02-03,96.35
4088,2016-02-02,94.48
4087,2016-02-01,96.43
4086,2016-01-29,97.34
4085,2016-01-28,94.09
4084,2016-01-27,93.42
4083,2016-01-26,99.99
4082,2016-01-25,99.44
4081,2016-01-22,101.42
4080,2016-01-21,96.3
4079,2016-01-20,96.79
4078,2016-01-19,96.66
4077,2016-01-15,97.13
4076,2016-01-14,99.52
4075,2016-01-13,97.39
4074,2016-01-12,99.96
4073,2016-01-11,98.53
4072,2016-01-08,96.96
4071,2016-01-07,96.45
4070,2016-01-06,100.7
4069,2016-01-05,102.71
4068,2016-01-04,105.35
4067,2015-12-31,105.26
4066,2015-12-30,107.32
4065,2015-12-29,108.74
4064,2015-12-28,106.82
4063,2015-12-24,108.03
