,Date,Close
4987,2019-08-28,161.22
4986,2019-08-27,161.8
4985,2019-08-26,165.45
4984,2019-08-23,162.44
4983,2019-08-22,171.48
4982,2019-08-21,171.23
4981,2019-08-20,167.87
4980,2019-08-19,170.78
4979,2019-08-16,159.56
4978,2019-08-15,148.77
4977,2019-08-14,150.07
4976,2019-08-13,156.05
4975,2019-08-12,151.45
4974,2019-08-09,154.18
4973,2019-08-08,158.26
4972,2019-08-07,153.89
4971,2019-08-06,152.35
4970,2019-08-05,150.79
4969,2019-08-02,161.19
4968,2019-08-01,164.92
4967,2019-07-31,168.72
4966,2019-07-30,175.45
4965,2019-07-29,174.82
4964,2019-07-26,175.07
4963,2019-07-25,173.38
4962,2019-07-24,178.66
4961,2019-07-23,175.66
4960,2019-07-22,171.32
4959,2019-07-19,168.44
4958,2019-07-18,170.18
4957,2019-07-17,169.71
4956,2019-07-16,167.08
4955,2019-07-15,167.27
4954,2019-07-12,167.61
4953,2019-07-11,166.28
4952,2019-07-10,160.06
4951,2019-07-09,157.31
4950,2019-07-08,157.21
4949,2019-07-05,160.23
4948,2019-07-03,162.75
4947,2019-07-02,162.23
4946,2019-07-01,166.17
4945,2019-06-28,164.23
4944,2019-06-27,163.23
4943,2019-06-26,159.26
4942,2019-06-25,151.48
4941,2019-06-24,152.66
4940,2019-06-21,151.76
4939,2019-06-20,154.1
4938,2019-06-19,153.12
4937,2019-06-18,152.88
4936,2019-06-17,145.03
4935,2019-06-14,144.64
4934,2019-06-13,148.26
4933,2019-06-12,146.2
4932,2019-06-11,150.75
4931,2019-06-10,148.43
4930,2019-06-07,145.5
4929,2019-06-06,143.78
4928,2019-06-05,141.28
4927,2019-06-04,143.0
4926,2019-06-03,133.78
4925,2019-05-31,135.46
4924,2019-05-30,139.11
4923,2019-05-29,140.34
4922,2019-05-28,143.33
4921,2019-05-24,145.15
4920,2019-05-23,147.32
4919,2019-05-22,152.2
4918,2019-05-21,155.06
4917,2019-05-20,151.75
4916,2019-05-17,156.53
4915,2019-05-16,160.19
4914,2019-05-15,159.58
4913,2019-05-14,162.04
4912,2019-05-13,158.45
4911,2019-05-10,168.82
4910,2019-05-09,170.19
4909,2019-05-08,173.92
4908,2019-05-07,173.11
4907,2019-05-06,179.85
4906,2019-05-03,183.01
4905,2019-05-02,183.19
4904,2019-05-01,180.47
4903,2019-04-30,181.0
4902,2019-04-29,179.33
4901,2019-04-26,178.09
4900,2019-04-25,186.91
4899,2019-04-24,191.17
4898,2019-04-23,190.67
4897,2019-04-22,188.47
4896,2019-04-18,186.3
4895,2019-04-17,187.29
4894,2019-04-16,188.21
4893,2019-04-15,184.7
4892,2019-04-12,190.01
4891,2019-04-11,191.54
4890,2019-04-10,192.1
4889,2019-04-09,189.26
4888,2019-04-08,191.79
4887,2019-04-05,190.95
4886,2019-04-04,188.26
4885,2019-04-03,188.62
4884,2019-04-02,183.0
4883,2019-04-01,182.28
4882,2019-03-29,179.56
4881,2019-03-28,177.25
4880,2019-03-27,176.5
4879,2019-03-26,176.87
4878,2019-03-25,173.78
4877,2019-03-22,177.5
4876,2019-03-21,183.94
4875,2019-03-20,174.4
4874,2019-03-19,175.71
4873,2019-03-18,168.95
4872,2019-03-15,169.81
4871,2019-03-14,165.56
4870,2019-03-13,168.62
4869,2019-03-12,162.52
4868,2019-03-11,161.14
4867,2019-03-08,150.64
4866,2019-03-07,149.26
4865,2019-03-06,152.05
4864,2019-03-05,156.52
4863,2019-03-04,156.78
4862,2019-03-01,156.45
4861,2019-02-28,154.26
4860,2019-02-27,155.41
4859,2019-02-26,157.1
4858,2019-02-25,158.69
4857,2019-02-22,159.19
4856,2019-02-21,155.77
4855,2019-02-20,158.55
4854,2019-02-19,156.64
4853,2019-02-15,157.34
4852,2019-02-14,154.53
4851,2019-02-13,152.88
4850,2019-02-12,151.17
4849,2019-02-11,146.45
4848,2019-02-08,148.17
4847,2019-02-07,147.42
4846,2019-02-06,153.0
4845,2019-02-05,149.95
4844,2019-02-04,149.18
4843,2019-02-01,144.73
4842,2019-01-31,143.75
4841,2019-01-30,137.39
4840,2019-01-29,131.6
4839,2019-01-28,138.01
4838,2019-01-25,160.15
4837,2019-01-24,157.84
4836,2019-01-23,149.29
4835,2019-01-22,148.77
4834,2019-01-18,156.93
4833,2019-01-17,151.72
4832,2019-01-16,148.84
4831,2019-01-15,149.87
4830,2019-01-14,150.44
4829,2019-01-11,148.83
4828,2019-01-10,145.23
4827,2019-01-09,142.58
4826,2019-01-08,139.83
4825,2019-01-07,143.4
4824,2019-01-04,136.19
4823,2019-01-03,127.99
4822,2019-01-02,136.22
4821,2018-12-31,133.5
4820,2018-12-28,133.65
4819,2018-12-27,131.17
4818,2018-12-26,133.1
4817,2018-12-24,127.08
4816,2018-12-21,129.57
4815,2018-12-20,135.1
