,Date,Close
1867,2017-11-27,316.81
1866,2017-11-24,315.55
1865,2017-11-22,312.6
1864,2017-11-21,317.81
1863,2017-11-20,308.74
1862,2017-11-17,315.05
1861,2017-11-16,312.5
1860,2017-11-15,311.3
1859,2017-11-14,308.7
1858,2017-11-13,315.4
1857,2017-11-10,302.99
1856,2017-11-09,302.99
1855,2017-11-08,304.39
1854,2017-11-07,306.05
1853,2017-11-06,302.78
1852,2017-11-03,306.09
1851,2017-11-02,299.26
1850,2017-11-01,321.08
1849,2017-10-31,331.53
1848,2017-10-30,320.08
1847,2017-10-27,320.87
1846,2017-10-26,326.17
1845,2017-10-25,325.84
1844,2017-10-24,337.34
1843,2017-10-23,337.02
1842,2017-10-20,345.1
1841,2017-10-19,351.81
1840,2017-10-18,359.65
1839,2017-10-17,355.75
1838,2017-10-16,350.6
1837,2017-10-13,355.57
1836,2017-10-12,355.68
1835,2017-10-11,354.6
1834,2017-10-10,355.59
1833,2017-10-09,342.94
1832,2017-10-06,356.88
1831,2017-10-05,355.33
1830,2017-10-04,355.01
1829,2017-10-03,348.14
1828,2017-10-02,341.53
1827,2017-09-29,341.1
1826,2017-09-28,339.6
1825,2017-09-27,340.97
1824,2017-09-26,345.25
1823,2017-09-25,344.99
1822,2017-09-22,351.09
1821,2017-09-21,366.48
1820,2017-09-20,373.91
1819,2017-09-19,375.1
1818,2017-09-18,385.0
1817,2017-09-15,379.81
1816,2017-09-14,377.64
1815,2017-09-13,366.23
1814,2017-09-12,362.75
1813,2017-09-11,363.69
1812,2017-09-08,343.4
1811,2017-09-07,350.61
1810,2017-09-06,344.53
1809,2017-09-05,349.59
1808,2017-09-01,355.4
1807,2017-08-31,355.9
1806,2017-08-30,353.18
1805,2017-08-29,347.36
1804,2017-08-28,345.66
1803,2017-08-25,348.05
1802,2017-08-24,352.93
1801,2017-08-23,352.77
1800,2017-08-22,341.35
1799,2017-08-21,337.86
1798,2017-08-18,347.46
1797,2017-08-17,351.92
1796,2017-08-16,362.91
1795,2017-08-15,362.33
1794,2017-08-14,363.8
1793,2017-08-11,357.715
1792,2017-08-10,355.4
1791,2017-08-09,363.53
1790,2017-08-08,365.22
1789,2017-08-07,355.17
1788,2017-08-04,356.91
1787,2017-08-03,347.09
1786,2017-08-02,325.89
1785,2017-08-01,319.57
1784,2017-07-31,323.47
1783,2017-07-28,335.07
1782,2017-07-27,334.46
1781,2017-07-26,343.85
1780,2017-07-25,339.6
1779,2017-07-24,342.52
1778,2017-07-21,328.4
1777,2017-07-20,329.92
1776,2017-07-19,325.26
1775,2017-07-18,328.24
1774,2017-07-17,319.57
1773,2017-07-14,327.78
1772,2017-07-13,323.41
1771,2017-07-12,329.52
1770,2017-07-11,327.22
1769,2017-07-10,316.05
1768,2017-07-07,313.22
1767,2017-07-06,308.83
1766,2017-07-05,327.09
1765,2017-07-03,352.62
1764,2017-06-30,361.61
1763,2017-06-29,360.75
1762,2017-06-28,371.24
1761,2017-06-27,362.37
1760,2017-06-26,377.49
1759,2017-06-23,383.45
1758,2017-06-22,382.61
1757,2017-06-21,376.4
1756,2017-06-20,372.24
1755,2017-06-19,369.8
1754,2017-06-16,371.4
1753,2017-06-15,375.34
1752,2017-06-14,380.66
1751,2017-06-13,375.95
1750,2017-06-12,359.01
1749,2017-06-09,357.32
1748,2017-06-08,370.0
1747,2017-06-07,359.65
1746,2017-06-06,352.85
1745,2017-06-05,347.32
1744,2017-06-02,339.85
1743,2017-06-01,340.37
1742,2017-05-31,341.01
1741,2017-05-30,335.1
1740,2017-05-26,325.14
1739,2017-05-25,316.83
1738,2017-05-24,310.22
1737,2017-05-23,303.86
1736,2017-05-22,310.35
1735,2017-05-19,310.83
1734,2017-05-18,313.06
1733,2017-05-17,306.11
1732,2017-05-16,317.01
1731,2017-05-15,315.88
1730,2017-05-12,324.81
1729,2017-05-11,323.1
1728,2017-05-10,325.22
1727,2017-05-09,321.26
1726,2017-05-08,307.19
1725,2017-05-05,308.35
1724,2017-05-04,295.46
1723,2017-05-03,311.02
1722,2017-05-02,318.89
1721,2017-05-01,322.83
1720,2017-04-28,314.07
1719,2017-04-27,308.63
1718,2017-04-26,310.17
1717,2017-04-25,313.79
1716,2017-04-24,308.03
1715,2017-04-21,305.6
1714,2017-04-20,302.51
1713,2017-04-19,305.52
1712,2017-04-18,300.25
1711,2017-04-17,301.44
1710,2017-04-13,304.0
1709,2017-04-12,296.84
1708,2017-04-11,308.71
1707,2017-04-10,312.39
1706,2017-04-07,302.54
1705,2017-04-06,298.7
1704,2017-04-05,295.0
1703,2017-04-04,303.7
1702,2017-04-03,298.52
1701,2017-03-31,278.3
1700,2017-03-30,277.92
1699,2017-03-29,277.38
1698,2017-03-28,277.45
1697,2017-03-27,270.22
1696,2017-03-24,263.16
1695,2017-03-23,254.78
1694,2017-03-22,255.01
1693,2017-03-21,250.68
1692,2017-03-20,261.92
1691,2017-03-17,261.5
1690,2017-03-16,262.05
1689,2017-03-15,255.73
1688,2017-03-14,258.0
1687,2017-03-13,246.17
1686,2017-03-10,243.69
1685,2017-03-09,244.9
1684,2017-03-08,246.87
1683,2017-03-07,248.59
1682,2017-03-06,251.21
1681,2017-03-03,251.57
1680,2017-03-02,250.48
1679,2017-03-01,250.02
1678,2017-02-28,249.99
1677,2017-02-27,246.23
1676,2017-02-24,257.0
1675,2017-02-23,255.99
1674,2017-02-22,273.51
1673,2017-02-21,277.39
1672,2017-02-17,272.23
1671,2017-02-16,268.95
1670,2017-02-15,279.76
1669,2017-02-14,280.98
1668,2017-02-13,280.6
1667,2017-02-10,269.23
1666,2017-02-09,269.2
1665,2017-02-08,262.08
1664,2017-02-07,257.48
1663,2017-02-06,257.77
1662,2017-02-03,251.33
1661,2017-02-02,251.55
1660,2017-02-01,249.24
1659,2017-01-31,251.93
1658,2017-01-30,250.63
1657,2017-01-27,252.95
1656,2017-01-26,252.51
1655,2017-01-25,254.47
1654,2017-01-24,254.61
1653,2017-01-23,248.92
1652,2017-01-20,244.73
1651,2017-01-19,243.76
1650,2017-01-18,238.36
1649,2017-01-17,235.58
1648,2017-01-13,237.75
1647,2017-01-12,229.59
1646,2017-01-11,229.73
1645,2017-01-10,229.87
1644,2017-01-09,231.28
1643,2017-01-06,229.01
1642,2017-01-05,226.75
1641,2017-01-04,226.99
1640,2017-01-03,216.99
1639,2016-12-30,213.69
1638,2016-12-29,214.68
1637,2016-12-28,219.74
1636,2016-12-27,219.53
1635,2016-12-23,213.34
1634,2016-12-22,208.45
1633,2016-12-21,207.7
1632,2016-12-20,208.79
1631,2016-12-19,202.73
1630,2016-12-16,202.49
1629,2016-12-15,197.58
1628,2016-12-14,198.69
1627,2016-12-13,198.15
1626,2016-12-12,192.43
1625,2016-12-09,192.18
1624,2016-12-08,192.29
1623,2016-12-07,193.15
1622,2016-12-06,185.85
1621,2016-12-05,186.8
1620,2016-12-02,181.47
1619,2016-12-01,181.88
1618,2016-11-30,189.4
1617,2016-11-29,189.57
1616,2016-11-28,196.12
1615,2016-11-25,196.65
1614,2016-11-23,193.14
1613,2016-11-22,191.17
1612,2016-11-21,184.52
1611,2016-11-18,185.02
1610,2016-11-17,188.66
1609,2016-11-16,183.93
1608,2016-11-15,183.77
1607,2016-11-14,181.45
1606,2016-11-11,188.56
1605,2016-11-10,185.35
1604,2016-11-09,190.06
1603,2016-11-08,194.94
1602,2016-11-07,193.21
1601,2016-11-04,190.56
1600,2016-11-03,187.42
1599,2016-11-02,188.02
1598,2016-11-01,190.79
1597,2016-10-31,197.73
1596,2016-10-28,199.97
1595,2016-10-27,204.01
1594,2016-10-26,202.24
1593,2016-10-25,202.34
1592,2016-10-24,202.76
1591,2016-10-21,200.09
1590,2016-10-20,199.1
1589,2016-10-19,203.56
1588,2016-10-18,199.1
1587,2016-10-17,193.96
1586,2016-10-14,196.51
1585,2016-10-13,200.24
1584,2016-10-12,201.51
1583,2016-10-11,200.1
1582,2016-10-10,200.95
1581,2016-10-07,196.61
1580,2016-10-06,201.0
1579,2016-10-05,208.46
1578,2016-10-04,211.41
1577,2016-10-03,213.7
1576,2016-09-30,204.03
1575,2016-09-29,200.7
1574,2016-09-28,206.27
1573,2016-09-27,205.81
1572,2016-09-26,208.99
1571,2016-09-23,207.45
1570,2016-09-22,206.43
1569,2016-09-21,205.22
1568,2016-09-20,204.64
1567,2016-09-19,206.34
1566,2016-09-16,205.4
1565,2016-09-15,200.42
